Symbol,CompanyName,YahooSymbol,Exchange,Country
SEB A,SEB A,SEB-A.ST,Nasdaq Stockholm / Sweden,Sweden
SEB C,SEB C,SEB-C.ST,Nasdaq Stockholm / Sweden,Sweden
SECT B,SECTRA B,SECT-B.ST,Nasdaq Stockholm / Sweden,Sweden
SECU B,Securitas B,SECU-B.ST,Nasdaq Stockholm / Sweden,Sweden
SEDANA,Sedana Medical,SEDANA.ST,Nasdaq Stockholm / Sweden,Sweden
SEZI,Senzime,SEZI.ST,Nasdaq Stockholm / Sweden,Sweden
SF,Stillfront Group,SF.ST,Nasdaq Stockholm / Sweden,Sweden
SFAB,Solid Försäkringsaktiebolag,SFAB.ST,Nasdaq Stockholm / Sweden,Sweden
SFAST,Stenhus Fastigheter i Norden,SFAST.ST,Nasdaq Stockholm / Sweden,Sweden
SGG,Sensys Gatso Group,SGG.ST,Nasdaq Stockholm / Sweden,Sweden
SHB A,Sv. Handelsbanken A,SHB-A.ST,Nasdaq Stockholm / Sweden,Sweden
SHB B,Sv. Handelsbanken B,SHB-B.ST,Nasdaq Stockholm / Sweden,Sweden
SHOT,Scandic Hotels Group,SHOT.ST,Nasdaq Stockholm / Sweden,Sweden
SINCH,Sinch,SINCH.ST,Nasdaq Stockholm / Sweden,Sweden
SINT,SinterCast,SINT.ST,Nasdaq Stockholm / Sweden,Sweden
SIVE,Sivers Semiconductors,SIVE.ST,Nasdaq Stockholm / Sweden,Sweden
SKA B,Skanska B,SKA-B.ST,Nasdaq Stockholm / Sweden,Sweden
SKF A,SKF A,SKF-A.ST,Nasdaq Stockholm / Sweden,Sweden
SKF B,SKF B,SKF-B.ST,Nasdaq Stockholm / Sweden,Sweden
SKIS B,SkiStar B,SKIS-B.ST,Nasdaq Stockholm / Sweden,Sweden
SLEEP,Sleep Cycle,SLEEP.ST,Nasdaq Stockholm / Sweden,Sweden
SLP B,Swedish Logistic Property B,SLP-B.ST,Nasdaq Stockholm / Sweden,Sweden
SMCRT,SmartCraft Group,SMCRT.ST,Nasdaq Stockholm / Sweden,Sweden
SOBI,Swedish Orphan Biovitrum,SOBI.ST,Nasdaq Stockholm / Sweden,Sweden
SOF B,Softronic B,SOF-B.ST,Nasdaq Stockholm / Sweden,Sweden
SSAB A,SSAB A,SSAB-A.ST,Nasdaq Stockholm / Sweden,Sweden
SSAB B,SSAB B,SSAB-B.ST,Nasdaq Stockholm / Sweden,Sweden
STAR A,Starbreeze A,STAR-A.ST,Nasdaq Stockholm / Sweden,Sweden
STAR B,Starbreeze B,STAR-B.ST,Nasdaq Stockholm / Sweden,Sweden
STE A,Stora Enso A,STE-A.ST,Nasdaq Stockholm / Sweden,Sweden
STE R,Stora Enso R,STE-R.ST,Nasdaq Stockholm / Sweden,Sweden
STEF B,Stendörren Fastigheter B,STEF-B.ST,Nasdaq Stockholm / Sweden,Sweden
STOR B,Storskogen Group B,STOR-B.ST,Nasdaq Stockholm / Sweden,Sweden
STWK,Stockwik Förvaltning,STWK.ST,Nasdaq Stockholm / Sweden,Sweden
SVEAF,Sveafastigheter,SVEAF.ST,Nasdaq Stockholm / Sweden,Sweden
SVED B,Svedbergs Group B,SVED-B.ST,Nasdaq Stockholm / Sweden,Sweden
SVIK,Studsvik,SVIK.ST,Nasdaq Stockholm / Sweden,Sweden
SVOL A,Svolder A,SVOL-A.ST,Nasdaq Stockholm / Sweden,Sweden
SVOL B,Svolder B,SVOL-B.ST,Nasdaq Stockholm / Sweden,Sweden
SWEC A,SWECO A,SWEC-A.ST,Nasdaq Stockholm / Sweden,Sweden
SWEC B,SWECO B,SWEC-B.ST,Nasdaq Stockholm / Sweden,Sweden
SWED A,Swedbank A,SWED-A.ST,Nasdaq Stockholm / Sweden,Sweden
SYNACT,SynAct Pharma,SYNACT.ST,Nasdaq Stockholm / Sweden,Sweden
SYNSAM,Synsam,SYNSAM.ST,Nasdaq Stockholm / Sweden,Sweden
SYSR,Systemair,SYSR.ST,Nasdaq Stockholm / Sweden,Sweden
TEL2 A,Tele2 A,TEL2-A.ST,Nasdaq Stockholm / Sweden,Sweden
TEL2 B,Tele2 B,TEL2-B.ST,Nasdaq Stockholm / Sweden,Sweden
TELIA,Telia Company,TELIA.ST,Nasdaq Stockholm / Sweden,Sweden
THULE,Thule Group,THULE.ST,Nasdaq Stockholm / Sweden,Sweden
TIETOS,Tieto Oyj,TIETOS.ST,Nasdaq Stockholm / Sweden,Sweden
TOBII,Tobii,TOBII.ST,Nasdaq Stockholm / Sweden,Sweden
TRAC B,Traction  B,TRAC-B.ST,Nasdaq Stockholm / Sweden,Sweden
TRAD,TradeDoubler,TRAD.ST,Nasdaq Stockholm / Sweden,Sweden
TRANS,Transtema Group,TRANS.ST,Nasdaq Stockholm / Sweden,Sweden
TREL B,Trelleborg B,TREL-B.ST,Nasdaq Stockholm / Sweden,Sweden
TRIAN B,Trianon B,TRIAN-B.ST,Nasdaq Stockholm / Sweden,Sweden
TROAX,Troax Group,TROAX.ST,Nasdaq Stockholm / Sweden,Sweden
TRUE B,Truecaller B,TRUE-B.ST,Nasdaq Stockholm / Sweden,Sweden
VBG B,VBG GROUP B,VBG-B.ST,Nasdaq Stockholm / Sweden,Sweden
VEFAB,VEF,VEFAB.ST,Nasdaq Stockholm / Sweden,Sweden
VESTUM,Vestum,VESTUM.ST,Nasdaq Stockholm / Sweden,Sweden
VICO,Vicore Pharma Holding,VICO.ST,Nasdaq Stockholm / Sweden,Sweden
VIMIAN,Vimian Group,VIMIAN.ST,Nasdaq Stockholm / Sweden,Sweden
VISC,Gruvaktiebolaget Viscaria,VISC.ST,Nasdaq Stockholm / Sweden,Sweden
VIT B,Vitec Software Group B,VIT-B.ST,Nasdaq Stockholm / Sweden,Sweden
VITR,Vitrolife,VITR.ST,Nasdaq Stockholm / Sweden,Sweden
VIVA,Viva Wine Group,VIVA.ST,Nasdaq Stockholm / Sweden,Sweden
VIVE,Vivesto,VIVE.ST,Nasdaq Stockholm / Sweden,Sweden
VNV,VNV Global,VNV.ST,Nasdaq Stockholm / Sweden,Sweden
VOLCAR B,Volvo Car B,VOLCAR-B.ST,Nasdaq Stockholm / Sweden,Sweden
VOLO,Volati,VOLO.ST,Nasdaq Stockholm / Sweden,Sweden
VOLO PREF,Volati Pref,VOLO-PREF.ST,Nasdaq Stockholm / Sweden,Sweden
VOLV A,Volvo A,VOLV-A.ST,Nasdaq Stockholm / Sweden,Sweden
VOLV B,Volvo B,VOLV-B.ST,Nasdaq Stockholm / Sweden,Sweden
VPLAY A,Viaplay Group A,VPLAY-A.ST,Nasdaq Stockholm / Sweden,Sweden
VPLAY B,Viaplay Group B,VPLAY-B.ST,Nasdaq Stockholm / Sweden,Sweden
VSURE,Verisure,VSURE.ST,Nasdaq Stockholm / Sweden,Sweden
WALL B,Wallenstam B,WALL-B.ST,Nasdaq Stockholm / Sweden,Sweden
WBGR B,Wästbygg Gruppen B,WBGR-B.ST,Nasdaq Stockholm / Sweden,Sweden
WIHL,Wihlborgs Fastigheter,WIHL.ST,Nasdaq Stockholm / Sweden,Sweden
WISE,Wise Group,WISE.ST,Nasdaq Stockholm / Sweden,Sweden
WTW A,Wall to Wall Group A,WTW-A.ST,Nasdaq Stockholm / Sweden,Sweden
XANO B,XANO Industri B,XANO-B.ST,Nasdaq Stockholm / Sweden,Sweden
XBRANE,Xbrane Biopharma,XBRANE.ST,Nasdaq Stockholm / Sweden,Sweden
XSPRAY,Xspray Pharma,XSPRAY.ST,Nasdaq Stockholm / Sweden,Sweden
XVIVO,Xvivo Perfusion,XVIVO.ST,Nasdaq Stockholm / Sweden,Sweden
YUBICO,Yubico,YUBICO.ST,Nasdaq Stockholm / Sweden,Sweden
